iter	Logloss
0	0.6887942844
1	0.683908212
2	0.6798773726
3	0.6765004392
4	0.671985911
5	0.6687372698
6	0.6641871871
7	0.6602806403
8	0.656148767
9	0.6520394115
10	0.6488255842
11	0.6445216421
12	0.6404830993
13	0.637511857
14	0.6336461237
15	0.6295120283
16	0.6253191939
17	0.6214231652
18	0.6181488582
19	0.6139878747
20	0.6097414494
21	0.6056733519
22	0.6017583979
23	0.5976594866
24	0.5950041976
25	0.5915186008
26	0.5878994526
27	0.5854362688
28	0.582933716
29	0.5801405053
30	0.5760641859
31	0.5734061563
32	0.5711010048
33	0.5679111026
34	0.5647927908
35	0.5610304247
36	0.5586896076
37	0.5557679564
38	0.5526548667
39	0.5496078861
40	0.5462613591
41	0.5432609326
42	0.5397607807
43	0.5360200435
44	0.5329751369
45	0.5312127835
46	0.5295042804
47	0.527336495
48	0.5250703053
49	0.5219779186
50	0.519066119
51	0.5156786303
52	0.5125732811
53	0.5095384853
54	0.5065709096
55	0.5043292746
56	0.5022433756
57	0.4997641554
58	0.4978506215
59	0.494698607
60	0.4921768325
61	0.4895275063
62	0.4874147934
63	0.4856379219
64	0.4826457915
65	0.4803647503
66	0.4782501485
67	0.4755128991
68	0.473462962
69	0.4710165555
70	0.4686520354
71	0.4664581397
72	0.4641140264
73	0.4620665707
74	0.4601964799
75	0.4584808288
76	0.4562489713
77	0.4540507054
78	0.452410052
79	0.4500546428
80	0.4480209644
81	0.4463007209
82	0.4443634099
83	0.4423348795
84	0.4405432307
85	0.4385392922
86	0.4363688032
87	0.4341113539
88	0.4321300813
89	0.429531087
90	0.4276034053
91	0.4259449747
92	0.4240623658
93	0.4216278479
94	0.4194923948
95	0.4179179246
96	0.4162777527
97	0.4146466916
98	0.4129435586
99	0.4111745018
100	0.4092903744
101	0.4074653562
102	0.4058447393
103	0.4047280328
104	0.4028829412
105	0.4015475377
106	0.3995580802
107	0.3979668327
108	0.3960816683
109	0.394573159
110	0.3933029017
111	0.391560844
112	0.3900172617
113	0.388801299
114	0.3876777779
115	0.3862803022
116	0.3849056036
117	0.3830467718
118	0.3818706967
119	0.3801618973
120	0.3785319843
121	0.3769940685
122	0.3754320053
123	0.373906978
124	0.3727013483
125	0.3719269276
126	0.3702454977
127	0.3687703577
128	0.3672843292
129	0.3656770452
130	0.3640825015
131	0.3624039974
132	0.3609090062
133	0.3594992346
134	0.3582446435
135	0.3574884074
136	0.3562373346
137	0.3549888915
138	0.3536941904
139	0.3523313063
140	0.3509402749
141	0.3499207506
142	0.3484963869
143	0.3468709923
144	0.3456605109
145	0.3441207433
146	0.3429675564
147	0.3413945676
148	0.3405775556
149	0.3392392263
150	0.3382459975
151	0.337018924
152	0.3360700642
153	0.3347232166
154	0.3333842947
155	0.3320838531
156	0.3309583691
157	0.3296189287
158	0.328577294
159	0.3276243232
160	0.3265993547
161	0.3259127831
162	0.3248629264
163	0.3237357758
164	0.3229788361
165	0.3216925422
166	0.3209120846
167	0.3197629347
168	0.3188779618
169	0.317962064
170	0.3169488728
171	0.3160684924
172	0.3152568136
173	0.3141912907
174	0.3132157651
175	0.3121985741
176	0.3111103852
177	0.3100411587
178	0.3089700805
179	0.3080187022
180	0.307183339
181	0.3065218407
182	0.3053281551
183	0.3046189176
184	0.3037161675
185	0.302906896
186	0.3021009393
187	0.3009100684
188	0.3000629277
189	0.2992748963
190	0.2984498661
191	0.2977314807
192	0.2969147279
193	0.295678451
194	0.2948987898
195	0.2938507664
196	0.2929523124
197	0.292348368
198	0.291345695
199	0.2906579939
200	0.289874092
201	0.2890429693
202	0.2881967175
203	0.2872820234
204	0.2862238521
205	0.2855817977
206	0.2849667055
207	0.2845670511
208	0.2837611498
209	0.2830511346
210	0.2824938183
211	0.2817130645
212	0.2809333106
213	0.2799713587
214	0.2790835896
215	0.2780868239
216	0.2773710865
217	0.2768020855
218	0.2760879963
219	0.2754769224
220	0.274586746
221	0.2736593485
222	0.2729262784
223	0.2720260282
224	0.2713005875
225	0.2704501506
226	0.269679378
227	0.2689833438
228	0.2685409499
229	0.2679288761
230	0.2674980745
231	0.2668318172
232	0.2657684424
233	0.2652756427
234	0.2648048052
235	0.2640342733
236	0.2631816513
237	0.2623374735
238	0.2618977833
239	0.2612662841
240	0.260777688
241	0.2603479604
242	0.2598024772
243	0.2592978075
244	0.2587865083
245	0.2582825423
246	0.2575968967
247	0.2568514936
248	0.2562245869
249	0.2552923562
250	0.2548071118
251	0.2542302962
252	0.2535604649
253	0.2527935995
254	0.2521474527
255	0.2514323079
256	0.2509005279
257	0.2503882288
258	0.2500083516
259	0.2493881114
260	0.2487712784
261	0.2482591645
262	0.2476544053
263	0.2469852406
264	0.2462754105
265	0.2453888451
266	0.244669682
267	0.2441419204
268	0.2436015851
269	0.2428126649
270	0.242421788
271	0.2418535832
272	0.2411392347
273	0.2404366266
274	0.2399772703
275	0.2394205281
276	0.2388258982
277	0.2383450611
278	0.2379156669
279	0.2373874238
280	0.2367062225
281	0.2362004973
282	0.2355424619
283	0.2351473629
284	0.2346506744
285	0.2342904818
286	0.2338181999
287	0.2334013238
288	0.2329946696
289	0.2324945368
290	0.2317261345
291	0.231184577
292	0.2304578586
293	0.229872395
294	0.2294160016
295	0.2289207946
296	0.2283861258
297	0.2279424172
298	0.227410989
299	0.2268076557
300	0.2264568701
301	0.2260675858
302	0.2256320065
303	0.225185261
304	0.2247747736
305	0.2242391974
306	0.2238152845
307	0.2233855569
308	0.2228222038
309	0.2223703658
310	0.2218941212
311	0.2214180617
312	0.2209215954
313	0.2205412738
314	0.2200426965
315	0.2194968984
316	0.2188772137
317	0.2187196259
318	0.218296713
319	0.2178297458
320	0.2173785374
321	0.2169876976
322	0.216610098
323	0.216284608
324	0.2156693121
325	0.2154038758
326	0.2151684385
327	0.2146747129
328	0.2142872063
329	0.2138144615
330	0.2132982181
331	0.212923637
332	0.2124997796
333	0.2121959741
334	0.2118707619
335	0.2113307599
336	0.2109613453
337	0.2105400434
338	0.2100332812
339	0.2097654746
340	0.2094868906
341	0.2088129297
342	0.2085306051
343	0.2082228738
344	0.2077204447
345	0.2072122196
346	0.2068431013
347	0.2065005932
348	0.2060557735
349	0.2056515082
350	0.2053313328
351	0.204919938
352	0.2045221724
